nodeid,shapeid,x,y
1,0,-84.2337019,30.3870025
2,0,-84.2337119,30.3871419
3,0,-84.2337104,30.3872284
4,0,-84.2336986,30.3876023
5,0,-84.2337137,30.3876556
6,0,-84.2337341,30.3877114
7,0,-84.2337826,30.3877734
8,0,-84.2338292,30.3878118
9,0,-84.2338949,30.3878395
10,0,-84.2339477,30.3878544
11,0,-84.2339776,30.3878629
12,0,-84.2340203,30.3878698
13,0,-84.2341996,30.3879044
14,0,-84.234309,30.3879452
15,0,-84.2343829,30.3879863
16,0,-84.2344534,30.3880483
17,0,-84.2345072,30.3881221
18,0,-84.2345328,30.3882004
19,0,-84.2345477,30.3882685
20,0,-84.234513,30.389388
21,0,-84.2345045,30.3895716
22,0,-84.234492,30.389843
23,0,-84.234452,30.3907932
24,0,-84.234446,30.391069
25,0,-84.234432,30.39122
26,0,-84.2344205,30.3913538
27,0,-84.2343884,30.3914875
28,0,-84.2343289,30.3916258
29,0,-84.2342481,30.3917433
30,0,-84.2340691,30.391899
31,0,-84.2338778,30.3920465
32,0,-84.2336286,30.392244
33,0,-84.2335802,30.3922944
34,0,-84.2335518,30.392363
35,0,-84.2335886,30.3925095
36,0,-84.2336012,30.3925643
37,0,-84.2336324,30.3926726
38,1,-84.2317819,30.3968139
39,1,-84.231711,30.3968298
40,1,-84.2312683,30.3969289
41,1,-84.2308824,30.397013
42,1,-84.2308059,30.3970309
43,1,-84.2307468,30.3970454
44,1,-84.2304673,30.397114
45,1,-84.2301387,30.3971893
46,1,-84.2299372,30.3972565
47,1,-84.229663,30.3973952
48,1,-84.2296038,30.3974251
49,2,-84.2291108,30.3865034
50,2,-84.2291553,30.3866562
51,2,-84.2291637,30.3867409
52,2,-84.2291728,30.3868326
53,2,-84.2291943,30.3873324
54,2,-84.2291728,30.3875175
55,2,-84.2291567,30.387735
56,2,-84.2291245,30.388008
57,2,-84.2290707,30.388301
58,2,-84.2288615,30.389758
59,2,-84.2286769,30.3910595
60,2,-84.2284944,30.3922576
61,2,-84.228485,30.392333
62,3,-84.2242898,30.3949884
63,3,-84.2242012,30.3949659
64,3,-84.2238145,30.394868
65,3,-84.2234566,30.3947774
66,3,-84.223392,30.394761
67,3,-84.2233232,30.3947434
68,3,-84.2231146,30.3946901
69,3,-84.2229789,30.3946555
70,3,-84.2229157,30.3946393
71,3,-84.2227843,30.3946058
72,3,-84.2227165,30.3945884
73,3,-84.2223365,30.3944914
74,3,-84.222276,30.394476
75,3,-84.2221992,30.3944575
76,3,-84.222097,30.394431
77,3,-84.2219666,30.394393
78,3,-84.2219358,30.394384
79,3,-84.2219003,30.3943736
80,3,-84.221817,30.3943421
81,3,-84.221579,30.3942467
82,3,-84.2214451,30.3941782
83,3,-84.22139,30.39415
84,4,-84.2351622,30.3960665
85,4,-84.2348907,30.3960576
86,4,-84.2347873,30.3960547
87,4,-84.2344704,30.3960553
88,4,-84.233845,30.3960537
89,4,-84.2333471,30.396054
90,4,-84.2331136,30.3960347
91,4,-84.2328963,30.3959974
92,4,-84.2326678,30.395962
93,4,-84.232627,30.3959492
94,4,-84.2325,30.3959305
95,4,-84.2322273,30.395899
96,4,-84.2318862,30.3959133
97,4,-84.2316863,30.395945
98,4,-84.2316161,30.3959589
99,4,-84.2315285,30.3959762
100,4,-84.2314554,30.3959927
101,4,-84.2310188,30.3960916
102,4,-84.2306301,30.3961773
103,4,-84.230551,30.39619
104,4,-84.2304924,30.396204
105,4,-84.2299527,30.3963331
106,4,-84.2297863,30.3963952
107,4,-84.2296394,30.3964691
108,4,-84.2294788,30.3965603
109,4,-84.2291699,30.3967982
110,4,-84.2291294,30.3968291
111,5,-84.2321772,30.3986413
112,5,-84.2320994,30.3986413
113,5,-84.2313276,30.398652
114,5,-84.2312643,30.3986502
115,6,-84.2269728,30.3892873
116,6,-84.2269206,30.3892771
117,6,-84.2266473,30.3892224
118,6,-84.2262783,30.3891485
119,6,-84.2261968,30.3891317
120,6,-84.2261238,30.3891161
121,6,-84.2252311,30.3889261
122,6,-84.2251435,30.388909
123,6,-84.2249664,30.3888723
124,6,-84.2248779,30.3888561
125,6,-84.2246204,30.3888052
126,6,-84.2242289,30.3887257
127,6,-84.224147,30.388711
128,7,-84.2226647,30.3935658
129,7,-84.2226786,30.3935155
130,7,-84.2227046,30.3934251
131,7,-84.2226527,30.393358
132,7,-84.222237,30.393278
133,7,-84.2218373,30.3931927
134,7,-84.2217818,30.3932139
135,7,-84.2217517,30.3933107
136,7,-84.2217349,30.3933778
137,8,-84.222098,30.39692
138,8,-84.2221492,30.3968692
139,8,-84.2222423,30.3967769
140,8,-84.2223353,30.3966847
141,8,-84.2224472,30.3965737
142,8,-84.222457,30.396564
143,8,-84.222461,30.3965587
144,8,-84.222715,30.396222
145,8,-84.222743,30.396184
146,8,-84.223046,30.395628
147,8,-84.2230743,30.3955664
148,8,-84.2231883,30.3953186
149,8,-84.223235,30.395217
