highway,source,foot,building,service,addr:street,addr:housenumber,barrier,addr:city,addr:country,addr:postcode,name,amenity,FIXME,surface,natural,maxspeed,oneway,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_type,golf,leisure,building:levels,tiger:zip_left,cycleway,tiger:zip_right,access,lanes,tiger:source,tiger:tlid,tiger:upload_uuid,tiger:reviewed,office,sport,tiger:separated,landuse,is_in,bridge,waterway,website,cycleway:right,tiger:name_base_1,tiger:name_type_1,HFCS,basin,building:material,roof:shape,addr:housename,fence_type,name_1,tiger:zip,tunnel,admin_level,boundary,capacity:disabled,cfcc,county,hgv,noexit,operator,ref,sidewalk,unsigned_ref,addr:state,area,building:colour,building:name,dispensing,entrance,footway,hazard:bicycle,junction,max,place,power,rcn,tracktype,wikipedia
service,,,,,,,,,,,,,,paved,,20 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Fielding Way,,,,,25 mph,,A41,"Leon, FL",Fielding,Way,,,,,,,,,,,,,,,,,,,,,,Overlook,Dr,,,,,,,Overlook Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Bald Cypress Way,,,,,,,A41,"Leon, FL",Bald Cypress,Way,,,,,,32311,,,tiger_import_dch_v0.6_20070809,82885554,bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Buckhead Trace,,,,,25 mph,,A41,"Leon, FL",Buckhead,Trce,,,,32311,,32311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Drayton Drive,,,,,25 mph,,A41,"Leon, FL",Drayton,Dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Climbing Way,,,,,,,A41,"Leon, FL",Climbing,Way,,,,32305,,32305,,,tiger_import_dch_v0.6_20070809,82893951,bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Riverton Trail,,,,,25 mph,,A41,"Leon, FL",Riverton,Trl,,,,32399,,32399,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Mulberry Park Court,,,,,,yes,A41,"Leon, FL",Mulberry Park,Ct,,,,32399,,32399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Ivy Green Trail,,,,,25 mph,,A41,"Leon, FL",Ivy Green,Trl,,,,32399,,32399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Mossy Creek Lane,,,,,25 mph,,A41,"Leon, FL",Grove Park,Dr,,,,,,,,,,,,,,,,,,,,,,Mossy Creek,Ln,,,,,,,Mossy Creek Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Grove Park Drive,,,,,25 mph,,A41,"Leon, FL",Grove Park,Dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Barringer Hill Drive,,,,,25 mph,,A41,"Leon, FL",Barringer Hill,Dr,,,,,,,,,,,,,,,,,,,,,,Grove Park,Dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tertiary,,,,,,,,,,,Merchants Row Boulevard,,,,,35 mph,yes,A41,"Leon, FL",Merchants Row,Blvd,,,,,lane,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Esplanade Way,,,paved,,30 mph,,A41,"Leon, FL",Esplanade,Way,,,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,School House Road,,,paved,,,,A41,"Leon, FL",School House,Rd,,,,32399,lane,,,,tiger_import_dch_v0.6_20070809,"82885874:82885884; 82891967",bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service,,,,,,,,,,,C E P Way,,,,,,,A74,"Leon, FL",C E P,Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Overlook Drive,,,,,25 mph,,A41,"Leon, FL",,,,,,32305,,,,,,,,,,,,,,,,,,Overlook,Dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Terebone Drive,,,paved,,30 mph,,A41,"Leon, FL",Terebone,Dr,,,,,lane,,,,tiger_import_dch_v0.6_20070809,82888499,bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
